id,type,latitude,longitude,shop_type,name,address,street,city,postcode
130942937,node,53.3365213,-6.2438927,jewelry,Diamant,"Mount Street Crescent, Dublin",Mount Street Crescent,Dublin,
138099058,node,53.4199794,-6.3820549,supermarket,SuperValu,"Tyrrelstown Plaza, Tyrrelstown",Tyrrelstown Plaza,Tyrrelstown,
187768500,node,53.4009558,-6.1796922,supermarket,Tesco,"Malahide Road, Dublin",Malahide Road,Dublin,
197618958,node,54.5554421,-5.9069277,convenience,Tesco Express,"188, Saintfield Road, BT8 6NN",Saintfield Road,,BT8 6NN
224778670,node,53.1720854,-6.5336251,supermarket,Dunnes Stores,"The Mall Newtown Centre, Newtown Square, Main Street, Blessington, W91 T521",Main Street,Blessington,W91 T521
243778438,node,53.3590213,-6.424661,electrical,DID Electrical,"Lucan Road, Lucan",Lucan Road,Lucan,
243778439,node,53.3586559,-6.424617,doityourself,Woodie's,Lucan,,Lucan,
246636037,node,54.2415357,-6.950431,car,Ford,,,,
249338235,node,53.3861819,-6.3788096,supermarket,SuperValu,"Main Street, Blanchardstown",Main Street,Blanchardstown,
249430226,node,53.3504156,-6.2557289,chemist,Unknown,"Talbot Street, Dublin",Talbot Street,Dublin,
254091429,node,53.2059553,-6.1117228,supermarket,SuperValu,"Castle Street, Bray",Castle Street,Bray,
254364900,node,53.202864,-6.100923,convenience,Deveney's,,,,
254364910,node,53.2023826,-6.1003786,convenience,Ideal Stores,,,,
259770616,node,53.3007671,-6.1890586,convenience,Straney's Newsagent,"51, Mount Merrion Avenue",Mount Merrion Avenue,,
263367123,node,53.3476135,-6.4219985,supermarket,Eurospar,"Castle Road, Lucan",Castle Road,Lucan,
269704354,node,53.0307862,-9.2892978,convenience;gas,Mace,"Main Street, Lisdoonvarna",Main Street,Lisdoonvarna,
269704633,node,53.0282484,-9.2905817,dry_cleaning,Unknown,,,,
269704715,node,53.0291264,-9.2895788,convenience;gas,Spar,,,,
269925851,node,53.0150728,-9.404681,kiosk,Unknown,,,,
278011396,node,53.4279138,-6.2428203,convenience,Wrights Food Fayre,"Dublin Airport, Dublin",Dublin Airport,Dublin,
278740035,node,53.0418431,-9.138717,gift,Unknown,,,,
281089396,node,53.2887578,-9.0662609,convenience,Day-Today,Corrib Village,Corrib Village,,
281097610,node,53.2813182,-9.0649616,convenience,Centra,"Upper Newcastle Road, Galway",Upper Newcastle Road,Galway,
281174255,node,53.3432408,-6.2388322,supermarket,Fresh,"Grand Canal Square, Dublin",Grand Canal Square,Dublin,
281174464,node,53.3432637,-6.2441791,supermarket,Centra,"Pearse Street, Dublin",Pearse Street,Dublin,
288761601,node,53.2785616,-9.0495215,supermarket,Lidl,"Headford Road, Galway",Headford Road,Galway,
290480184,node,53.7189309,-6.3470747,hardware,Eddies Hardware,,,,
290480189,node,53.7188757,-6.3464147,pet_grooming,Head 2 Tail Grooming Parlour,,,,
290658528,node,53.5119548,-6.3979894,hardware,Murtagh's,,,,
290661357,node,53.5123706,-6.3986156,convenience,Daybreak,"Frederick Street, Ashbourne",Frederick Street,Ashbourne,
290661359,node,53.5124096,-6.3986549,beauty,Lady Sarah's,"Frederick Street, Ashbourne",Frederick Street,Ashbourne,
290705351,node,53.7180275,-6.3634072,convenience,Mell Stores,,,,
290738974,node,53.7205173,-6.3500545,laundry,EastEnders,,,,
290753004,node,53.7251659,-6.3611004,funeral_directors,Funeral Home 1,"Bog Road, Drogheda",Bog Road,Drogheda,
290994737,node,54.7727807,-5.7513421,outdoor,C.F Beattie - Shooting/Fishing,,,,
290994738,node,54.7729193,-5.7510074,convenience,NearBuy,,,,
290995517,node,54.7722311,-5.7512391,butcher,Cleaver & Steel,,,,
291546016,node,53.7198046,-6.3572366,furniture,Unknown,"North Road, Drogheda",North Road,Drogheda,
291594604,node,53.3402787,-6.2362398,supermarket,Eurospar,"Barrow Street, Dublin",Barrow Street,Dublin,
293524418,node,53.2747352,-6.3450534,convenience,Spar,Parklands Road,Parklands Road,,
296449236,node,53.4466521,-6.2380816,supermarket,SuperValu,"Boroimhe Road, Swords",Boroimhe Road,Swords,
296511406,node,53.4709682,-6.2315978,supermarket,Eurospar,"Applewood Main Street, Swords",Applewood Main Street,Swords,
297812081,node,53.3931343,-6.3676759,convenience,Spar,,,,
300247459,node,53.3282173,-6.3423204,furniture,Reid Furniture,,,,
300247460,node,53.3283708,-6.3416674,carpet,Carpetright,,,,
300247464,node,53.3243137,-6.3497797,car,Pat Igoe,Dublin,,Dublin,
300247466,node,53.3245686,-6.3516856,truck,Harris,"Naas Road, D12 KX57",Naas Road,,D12 KX57
300290435,node,53.2917541,-6.4412767,car,Jaguar Land Rover Ireland Ltd - HQ,"Clonlara Avenue, Baldonnell Business Park",Clonlara Avenue,Baldonnell Business Park,
300290437,node,53.2918217,-6.4406509,truck,DAF Distributors Ireland Ltd.,"Clonlara Avenue, Baldonnell Business Park, D22W1H9",Clonlara Avenue,Baldonnell Business Park,D22W1H9
300331589,node,53.0311722,-7.2965305,supermarket,Tesco,"James Fintan Lalor Avenue, Portlaoise",James Fintan Lalor Avenue,Portlaoise,
300351156,node,53.2735194,-7.4838608,supermarket,Dunnes Stores,,,,
300545789,node,53.5217561,-7.3611887,convenience,Unknown,,,,
305312854,node,53.3435518,-6.2619456,outdoor,Cotswold Outdoor,"10-12, Saint Andrew Street, Dublin",Saint Andrew Street,Dublin,
305313396,node,53.3446102,-6.2686326,bakery,The Bakery,"Essex Street West, Dublin",Essex Street West,Dublin,
306019422,node,53.0143672,-7.1478736,convenience,Gala,,,,
306019429,node,53.0174626,-7.1510383,supermarket,SuperValu,Stradbally,,Stradbally,
306019432,node,53.0178761,-7.1527785,convenience,The Grandstand,,,,
306630794,node,53.6538482,-6.6868998,clothes,Penneys,"Kennedy Road, Navan",Kennedy Road,Navan,
306630801,node,53.6541417,-6.687736,supermarket,Dunnes Stores,"Kennedy Road, Navan",Kennedy Road,Navan,
306630802,node,53.6538303,-6.6882843,supermarket,Tesco,"Kennedy Road, Navan",Kennedy Road,Navan,
306954914,node,53.6585775,-6.7151096,doityourself,Navan Hire & Hardware,,,,
306954919,node,53.6560691,-6.7015482,doityourself,Woodie's,"Blackwater Retail Park, Navan",Blackwater Retail Park,Navan,
306968124,node,53.6426933,-6.6891995,supermarket,SuperValu,Navan,,Navan,
306976067,node,53.6439151,-6.6603484,supermarket,SuperValu,"Metges Road, Navan",Metges Road,Navan,
306976089,node,53.6406846,-6.7071143,doityourself,Commons Hardware,,,,
308023541,node,53.2783372,-9.0496608,pet,Maxi Zoo,"Headford Road, Galway",Headford Road,Galway,
308961349,node,53.3491387,-6.2317518,convenience,Spar,,,,
310407929,node,53.3442807,-6.2658706,gift,Carroll's,"Dame Street, Dublin",Dame Street,Dublin,
311100348,node,53.3472105,-6.2632578,convenience,Spar,"Liffey Street Lower, Dublin",Liffey Street Lower,Dublin,
311194971,node,53.2366657,-6.1190095,convenience,Centra,"Shanganagh Wood, Shankill",Shanganagh Wood,Shankill,
311195236,node,53.2314532,-6.1237863,convenience,Tesco Express,Dublin Road,Dublin Road,,
311197910,node,53.2307975,-6.1242058,convenience,Spar,Main Street,Main Street,,
311298974,node,53.3494914,-6.2670631,outdoor,Basecamp,"1-4, Jervis Street",Jervis Street,,
311299258,node,53.3496011,-6.2671154,toys,Smyths,Jervis Street,Jervis Street,,
311343801,node,53.3484361,-6.2643181,supermarket,M&S Foodhall,"Liffey Street Upper, Dublin",Liffey Street Upper,Dublin,
311344008,node,53.3480715,-6.265225,supermarket,Tesco,"Mary Street, Dublin",Mary Street,Dublin,
311990080,node,53.3253867,-6.2553078,convenience,Spar,"Fields Terrace, Dublin",Fields Terrace,Dublin,
311994034,node,53.3328084,-6.264749,vacant,Unknown,"Camden Street Upper, Dublin",Camden Street Upper,Dublin,
312566858,node,53.3416706,-6.2269146,charity,NCBI Home,,,,
312568603,node,53.3412034,-6.2261202,convenience,Tesco Express,"Fitzwilliam Street, Dublin",Fitzwilliam Street,Dublin,
312577430,node,53.3291601,-6.2307087,convenience,Spar,"Merrion Road, Dublin",Merrion Road,Dublin,
312888405,node,53.5048229,-6.4670626,convenience,Tesco Express,"Fairyhouse Road, Ratoath",Fairyhouse Road,Ratoath,
313311904,node,55.2005825,-6.2544418,supermarket,Spar,Castle Street,Castle Street,,
313311917,node,55.2060368,-6.2539897,supermarket,Spar,Moyle Road,Moyle Road,,
315269739,node,55.1717795,-6.7104596,supermarket,Spar,Coleraine Road,Coleraine Road,,
321896408,node,53.0015566,-7.4743569,convenience,Centra,"Market Square, Mountrath",Market Square,Mountrath,
322703289,node,53.2701805,-6.1413906,convenience,Circle K,Rochestown Avenue,Rochestown Avenue,,
323226141,node,53.1523314,-6.0818726,convenience,Spar,"Blacklion Manor Road, Greystones",Blacklion Manor Road,Greystones,
325762143,node,53.3556479,-6.3709617,convenience,Londis,Kennelsfort Road Lower,Kennelsfort Road Lower,,
325783580,node,53.3561587,-6.2867075,supermarket,Tesco,"Prussia Street, Dublin",Prussia Street,Dublin,
331372330,node,53.202149,-6.1105212,convenience,Holland's Off-License,,,,
335469507,node,53.3813613,-6.5895866,sports,Equestrian World,,,,
335579068,node,53.280383,-6.444838,convenience,Centra,"Garter Lane, Saggart",Garter Lane,Saggart,
335716892,node,53.3815091,-6.5855945,laundry,Dove Dry Cleaners,,,,
335716979,node,53.3799732,-6.5827434,hairdresser,Occasions,,,,
335717500,node,53.3811699,-6.5855803,butcher,Coyne Family Butcher,,,,
335754695,node,53.3805977,-6.5883785,supermarket,SuperValu,"Straffan Road, Maynooth",Straffan Road,Maynooth,
335980360,node,53.3392362,-6.3199786,supermarket,Eurospar,"Emmet Road, Dublin",Emmet Road,Dublin,
339869163,node,53.7888857,-6.2403877,convenience,Unknown,,,,
342206969,node,53.7626051,-6.2718781,butcher,McEvoy's,,,,
343056907,node,53.7574936,-6.2766643,garden_centre,Forge Farm,,,,
351793124,node,53.3819367,-6.5876353,stationery,Maynooth Office Supplies Ltd.,,,,
351793133,node,53.381938,-6.5877238,hardware,Haven Hire,,,,
352667438,node,53.3818802,-6.591546,optician,Optometrist David Gildea,,,,
352669299,node,53.3811261,-6.5909069,gift,The Glass Doll,,,,
352669300,node,53.3810057,-6.5907997,hairdresser,The Square Barbers,,,,
352669303,node,53.3809398,-6.5905868,hardware,Three Pin Electrical,,,,
352671762,node,53.3809287,-6.5922905,alcohol,Roost Off License,,,,
352672503,node,53.3811211,-6.5929151,mobile_phone,Xpressfix,"Parson Street, Maynooth",Parson Street,Maynooth,
352673564,node,53.3811949,-6.5929624,beauty,Helen Gray,,,,
352673565,node,53.3812226,-6.5929933,beverages,Apache Pizza,"Mill Street, Maynooth, W23 V3P6",Mill Street,Maynooth,W23 V3P6
352674188,node,53.3728308,-6.5987433,hairdresser,Hot Heads Hair,,,,
352674189,node,53.3729834,-6.5990327,convenience,Spar,,,,
354880889,node,53.3740636,-6.587893,convenience,Centra,"Maynooth Park, Maynooth",Maynooth Park,Maynooth,
354880890,node,53.3740052,-6.5878152,butcher,Tommy's Butchers,"Maynooth Park, Maynooth, W23 V5D0",Maynooth Park,Maynooth,W23 V5D0
354880891,node,53.3739452,-6.5877428,hairdresser,Redz Barberz,,,,
354880893,node,53.3739124,-6.5877012,laundry,Dry Cleaner,,,,
354880898,node,53.3739468,-6.587429,charity,Vincent's,,,,
359968059,node,53.382008,-6.5900296,convenience,Londis,,,,
366363183,node,53.3412401,-6.261265,clothes,Jack Wills,Dublin,,Dublin,
366930972,node,53.2935411,-8.7504485,supermarket,Tesco,,,,
369328129,node,53.2990245,-8.7475074,gift,The Fields of Athenry,Athenry,,Athenry,
369367336,node,53.331687,-6.27892,convenience,Spar,,,,
369367922,node,53.3322445,-6.2692153,convenience,Spar,"13, South Circular Road, Dublin",South Circular Road,Dublin,
369368754,node,53.3360471,-6.2984584,convenience,Centra,"South Circular Road, Dublin",South Circular Road,Dublin,
369369673,node,53.3424908,-6.2942122,convenience,Spar,"James's Street, Dublin",James's Street,Dublin,
370206890,node,53.3855187,-6.0652007,convenience,Centra,"Main Street, Howth",Main Street,Howth,
370213860,node,53.3492933,-6.2783922,supermarket,Fresh,"Smithfield, Dublin",Smithfield,Dublin,
387223332,node,53.3488672,-6.2437225,department_store,Marks & Spencer,"Excise Walk, Dublin",Excise Walk,Dublin,
387490680,node,53.4475694,-6.222371,doityourself,B&Q,"Lakeshore Drive, Swords",Lakeshore Drive,Swords,
387542980,node,53.1199942,-9.6716944,butcher,Unknown,,,,
392594147,node,53.0828881,-6.7983881,convenience,Matt's,,,,
401248767,node,53.3817554,-6.5947001,vacant,Manor Mills Shopping Centre,"Mill Street, Maynooth",Mill Street,Maynooth,
401248768,node,53.3819633,-6.5939587,books,Eason,,,,
401248769,node,53.3822206,-6.5939479,supermarket,Dunnes Stores,"Mill Street, Maynooth",Mill Street,Maynooth,
405712189,node,53.3841249,-6.6003621,convenience,Londis,"Kilcock Road, Maynooth",Kilcock Road,Maynooth,
405712192,node,53.3838575,-6.6001098,books,University Bookshop,,,,
408399880,node,53.6473573,-6.6542811,hairdresser,Boys II Men Barbers,,,,
408980007,node,53.6356795,-6.6483058,convenience,Mace,,,,
409717878,node,53.6537409,-6.6862417,books,Eason,Paddy O'Brien Street,Paddy O'Brien Street,,
409740225,node,53.6632279,-6.676885,hairdresser,Castle Barbers,"10, Blackcastle Shopping Centre, Navan, C15 DE40",Blackcastle Shopping Centre,Navan,C15 DE40
409740226,node,53.6631492,-6.6774487,convenience,Fagan's Nearby Blackcastle,"5, Blackcastle Shopping Centre, Navan, C15 X289",Blackcastle Shopping Centre,Navan,C15 X289
409740229,node,53.6633174,-6.6775723,butcher,Lorenzen's Butchers,"2, Blackcastle Shopping Centre, Navan, C15 WR50",Blackcastle Shopping Centre,Navan,C15 WR50
409740232,node,53.6633563,-6.6769912,laundry,Bubbles Launderette,"12, Blackcastle Shopping Centre, Navan, C15 YD25",Blackcastle Shopping Centre,Navan,C15 YD25
409740235,node,53.659812,-6.6884251,hairdresser,Adam Gayle Hairdressing,"Navan, C15 C658",,Navan,C15 C658
409745564,node,53.6482055,-6.6969502,convenience,Centra,"Commons Road, Navan",Commons Road,Navan,
409804749,node,53.6456051,-6.6930313,houseware,Morans Home Zone,,,,
409804756,node,53.6456102,-6.693659,carpet,Mathews Carpets,Beechmount Industrial Estate,Beechmount Industrial Estate,,
409805122,node,53.6453398,-6.6937458,pet,Equipet,,,,
409805124,node,53.6451663,-6.6942051,furniture,Classic Furniture,,,,
409806597,node,53.6449111,-6.6950063,lighting,Lighting By Gregory Allen,,,,
410224509,node,53.6433288,-6.6971084,fireplace,C & R Fireplaces,,,,
410225272,node,53.6427215,-6.6990699,furniture,Fitzpatrick Furniture,,,,
410228474,node,53.6439546,-6.6983188,furniture,Furniture Design Gallery,,,,
410229248,node,53.6447802,-6.6964248,kitchen,Hogan Kitchens,,,,
410229378,node,53.6452876,-6.6947994,furniture,Royal County Furniture,,,,
410229380,node,53.6454145,-6.6944029,furniture,Flanagan Furniture,,,,
410243386,node,53.6427278,-6.6893191,hairdresser,Hairwaves,,,,
410243388,node,53.642746,-6.6894481,laundry,Launderette,,,,
410243390,node,53.6427858,-6.6895728,dry_cleaning,Dry Cleaners,,,,
410243689,node,53.6481811,-6.6872716,doityourself,Chadwicks Builder Centre,,,,
410250055,node,53.6583156,-6.6858128,convenience,Centra,"Ratholdren Road, Navan",Ratholdren Road,Navan,
410715220,node,53.3615992,-6.1946941,supermarket,Nolan's,Vernon Avenue,Vernon Avenue,,
410916660,node,53.4890068,-10.0213895,books,The Clifden Bookshop,,,,
410992176,node,53.052993,-6.8607065,supermarket,Castlefarm Shop,,,,
412265462,node,53.117178,-7.3272309,supermarket,Costcutter,,,,
414632105,node,53.3620137,-6.5023761,supermarket,Eurospar,"Castletown, Leixlip",Castletown,Leixlip,
414632108,node,53.3620998,-6.5019905,hairdresser,The Saloon,,,,
414650113,node,53.3660286,-6.5036403,convenience,Unknown,,,,
414650116,node,53.3660642,-6.5036956,beauty,The Pink Door,,,,
414659997,node,53.3647908,-6.5174696,supermarket,Eurospar,"Gleneaston, Leixlip",Gleneaston,Leixlip,
417262966,node,53.207716,-8.4778195,car,Noel Turley Auto Sales,,,,
420127921,node,53.1667218,-8.2956005,car,Eddie Lynch Garage,Killimor,,Killimor,
434379754,node,53.3515645,-6.2638088,supermarket,Tesco Metro,"Parnell Street, Dublin",Parnell Street,Dublin,
434379755,node,53.3510902,-6.2632744,supermarket,Lidl,"Moore Street, Dublin",Moore Street,Dublin,
434927240,node,54.6471269,-5.6488681,trade,Unknown,,,,
441233509,node,53.3760919,-6.333061,clothes,Unknown,Ashtown Road,Ashtown Road,,
442392163,node,54.468081,-6.3837931,convenience,Unknown,,,,
445395623,node,54.7243777,-6.1291595,garden_centre,The Landscape Centre,,,,
445513246,node,53.2769122,-6.2183033,convenience,Londis,Blackthorn Road,Blackthorn Road,,
445514567,node,53.2764855,-6.2239388,supermarket,SuperValu,Cedar Road,Cedar Road,,
446302965,node,54.6748107,-5.9874404,convenience,Centra,"Mallusk Road, Mallusk",Mallusk Road,Mallusk,
446781985,node,53.343118,-6.2632917,supermarket,Fallon & Byrne,"11-17, Exchequer Street, Dublin",Exchequer Street,Dublin,
447489890,node,53.4472049,-6.2240307,furniture,EZ Living,"Lakeshore Drive, Swords",Lakeshore Drive,Swords,
447824519,node,53.3705019,-6.2066829,supermarket,SuperValu,"Howth Road, Dublin",Howth Road,Dublin,
450630848,node,53.1500418,-6.0715922,doityourself,Brady's Hardware,,,,
456995794,node,53.4554383,-6.1801674,convenience,Centra,"Old Yellow Walls Road, Malahide",Old Yellow Walls Road,Malahide,
458220906,node,53.2816852,-6.3403519,hairdresser,Hair by Suzanne,,,,
458220907,node,53.2816493,-6.3404123,butcher,Redmond's Butchers,,,,
458220909,node,53.2813028,-6.3417058,dry_cleaning,Capricorn Dry Cleaners & Laundrette,Firhouse Shopping Centre,Firhouse Shopping Centre,,
458220910,node,53.2812615,-6.3415772,bookmaker,Tom Flood Bookmaker,Firhouse Shopping Centre,Firhouse Shopping Centre,,
460836932,node,53.3465617,-6.2793912,laundry,Mr. Tubs,"37, Arran Quay, Dublin",Arran Quay,Dublin,
462381475,node,54.4649708,-6.2607848,convenience,Unknown,,,,
462913323,node,54.5041077,-8.1904659,convenience,Spar,Ballyshannon,,Ballyshannon,
463710869,node,53.2510477,-6.8401635,vacant,Unknown,,,,
463710878,node,53.2505091,-6.8403021,convenience,Gala,Kilmeague,,Kilmeague,
463710882,node,53.2503771,-6.8404974,butcher,Colm Coffey's,,,,
464770414,node,53.2394587,-6.8552818,convenience,Mulrennans,,,,
467744850,node,53.345895,-6.2594282,clothes,Weavers of Ireland,"9, Westmoreland Street, Dublin",Westmoreland Street,Dublin,
467744892,node,53.3591183,-6.2591207,alcohol,Carolan's,,,,
467744894,node,53.3589601,-6.2577928,dry_cleaning,The Laundry Room,,,,
467744912,node,53.3574591,-6.2510679,electronics,Dublin Electrical Wholesalers Ltd.,,,,
469614985,node,54.594855,-5.8552307,tea,S.D. Bell & Co Ltd,,,,
469892143,node,53.2838014,-6.3773271,doityourself,Woodie's,,,,
470326863,node,53.3542552,-6.2572003,convenience,Spar,"Gardiner Street Middle, Dublin",Gardiner Street Middle,Dublin,
470326920,node,53.3505171,-6.2656528,supermarket,ALDI,"38-41, Parnell Street, Dublin",Parnell Street,Dublin,
470326939,node,53.3536376,-6.2594155,alcohol,Bevvie's,"144, Parnell Street, Dublin",Parnell Street,Dublin,
471773797,node,53.3214482,-6.2348989,convenience,Spar,"54-56, Donnybrook Road, Dublin",Donnybrook Road,Dublin,
472134566,node,53.3213854,-6.2353463,vacant,Unknown,Donnybrook Road,Donnybrook Road,,
472767309,node,53.358953,-6.2459517,alcohol,The Vine Tree,"82, Ballybough Road, Dublin",Ballybough Road,Dublin,
472767316,node,53.3570098,-6.2500263,laundry,Unknown,,,,
472965093,node,53.3955501,-6.4395662,supermarket,Dunnes Stores,"Main Street, Ongar",Main Street,Ongar,
474728394,node,53.2662311,-6.160201,department_store,Dunnes Stores,"Bray Road, Foxrock, D18 C7W7",Bray Road,Foxrock,D18 C7W7
474736528,node,53.262152,-6.1617779,convenience,Tesco Express,,,,
476009008,node,53.2510248,-6.8395656,bookmaker,Cill Dara Betting,"Kilmeague, Naas",Kilmeague,Naas,
476907879,node,53.2051014,-6.8607516,convenience,David's,,,,
479100381,node,53.3446387,-6.2672615,convenience,Spar,"10, Parliament Street, Dublin",Parliament Street,Dublin,
479986267,node,53.581432,-6.1351654,supermarket,Eurospar,,,,
480606959,node,53.3512272,-6.2637597,convenience,Centra,"Parnell Street, Dublin",Parnell Street,Dublin,
482112992,node,53.3886868,-6.1671502,supermarket,Tesco,"Grange Park Avenue, Dublin",Grange Park Avenue,Dublin,
486677660,node,53.5242249,-6.173997,convenience,Centra,"Dun Emer Avenue, Lusk",Dun Emer Avenue,Lusk,
486683288,node,53.5262518,-6.1642919,supermarket,SuperValu,"Station Road, Lusk",Station Road,Lusk,
493042377,node,53.3545831,-6.256981,dry_cleaning,Gardiner Street Dry Cleaners,"Gardiner Street Middle, Dublin",Gardiner Street Middle,Dublin,
494210271,node,53.7141859,-6.3481064,bicycle,Quay Cycles,,,,
497022974,node,53.3255868,-6.2648824,bicycle,Thinkbike,"Rathmines Road Lower, Dublin",Rathmines Road Lower,Dublin,
497022977,node,53.3274636,-6.2774379,bicycle,Life in Motion,"48a, Harold's Cross Road, Dublin",Harold's Cross Road,Dublin,
497022993,node,53.3357556,-6.2654533,bicycle,Penny Farthing Cycles,"81-82, Camden Street Lower, Dublin",Camden Street Lower,Dublin,
503224344,node,53.3406175,-6.2658406,convenience,Costcutter,"Aungier Street, Dublin",Aungier Street,Dublin,
504985175,node,53.2762809,-6.2243161,convenience,Unknown,Cedar Road,Cedar Road,,
504988941,node,53.270065,-6.2247746,hairdresser,The Sitting Room,,,,
506821597,node,53.3565948,-6.4507068,convenience,Centra,"Main Street, Lucan",Main Street,Lucan,
506835403,node,53.3436432,-6.5444401,butcher,Fitzpatrick Butchers,,,,
507962496,node,53.2775076,-6.2649649,supermarket,Lidl,Grange Road,Grange Road,,
508080564,node,54.5906282,-5.9231436,convenience,Mace Express,,,,
508336667,node,53.2994717,-6.2193534,car,Mount Merrion Cars,Dublin,,Dublin,
512531380,node,53.3247177,-6.2416164,motorcycle,GEM Motorcycle Workshop,"Rear 63, Morehampton Road",Morehampton Road,,
516148390,node,53.3390336,-6.3077547,vacant,Unknown,"47, Suir Road",Suir Road,,
518893601,node,53.3469287,-6.2822456,supermarket,Spar,"14-17, Ellis Quay, Dublin",Ellis Quay,Dublin,
519008594,node,54.5788903,-5.9513983,travel_agency,McNeill Worldwide,"421, Lisburn Road, Belfast, BT9 7EW",Lisburn Road,Belfast,BT9 7EW
519008595,node,54.5788722,-5.9514263,travel_agency,Ski McNeill,"421, Lisburn Road, Belfast, BT9 7EW",Lisburn Road,Belfast,BT9 7EW
522642589,node,53.3436507,-6.5443226,hairdresser,Hubu Salon,,,,
528235797,node,53.3519961,-6.4620828,convenience,Spar,,,,
528235803,node,53.3415263,-6.4516033,convenience,Spar,,,,
529594491,node,55.0457475,-7.2738473,convenience,Centra,Culmore Road,Culmore Road,,
530634588,node,53.3825688,-6.5891059,clothes,Moulin Rouge,,,,
534397998,node,54.1921632,-6.349226,doityourself,B&Q,,,,
535292100,node,53.2776693,-6.2109884,dry_cleaning,Unknown,Ballymoss Road,Ballymoss Road,,
539137657,node,53.4104945,-6.3567434,computer,Mactivate,Unit 13,,,
539504041,node,54.7542441,-6.6106946,department_store,Dunnes Stores,"Moneymore Road, Magherafelt, BT45 6PR",Moneymore Road,Magherafelt,BT45 6PR
540023004,node,54.6472727,-5.7247623,garden_centre,Unknown,,,,
540023006,node,54.6588107,-5.703649,convenience,Spar,,,,
541650329,node,53.116147,-9.1480711,supermarket,Spar,,,,
543386153,node,55.000517,-7.3216415,supermarket,Tesco,"42, Strand Road, Londonderry, BT48 7PX",Strand Road,Londonderry,BT48 7PX
546744007,node,53.4582557,-6.3498412,convenience,May's Newsagents,,,,
548060985,node,53.2477999,-6.5958495,convenience,Esso On The Run,,,,
549665002,node,53.3440194,-6.2646888,convenience,Spar,"21, Dame Street, Dublin",Dame Street,Dublin,
549666011,node,53.3543481,-6.2572583,greengrocer,Tops in Pops,"2, Gardiner Street Middle, Dublin",Gardiner Street Middle,Dublin,
550381054,node,53.4523706,-6.1541153,convenience,Tesco Express,Malahide,,Malahide,
550381057,node,53.4507706,-6.1540022,convenience,Mace,,,,
553535053,node,53.0298962,-7.2965199,department_store,TK Maxx,Kylekiproe Road,Kylekiproe Road,,
553535068,node,53.0299349,-7.2955138,sports,Elverys Sports,Kylekiproe Road,Kylekiproe Road,,
559162555,node,53.4286454,-6.3746235,convenience,Spar,"Ratoath Road, Dublin",Ratoath Road,Dublin,
559854617,node,53.3436458,-6.2642558,bakery,Krust Bakery,"5, George's Street Great South, Dublin",George's Street Great South,Dublin,
560070371,node,53.0031037,-6.9506986,furniture,Athy Furniture and Beds Galore,,,,
560085322,node,53.3243625,-6.3393737,bicycle;baby_goods,Eurocycles;Eurobaby,"1, Long Mile Road, Dublin, D12 F768",Long Mile Road,Dublin,D12 F768
560114632,node,54.5523207,-6.0003449,supermarket,Tesco,"Kingsway, Belfast",Kingsway,Belfast,
560470677,node,53.3510431,-6.2519174,hardware,O'Brien's Hardware,"66, Talbot Street, Dublin",Talbot Street,Dublin,
560623704,node,53.6061422,-6.1769804,convenience,Londis,Hampton Street,Hampton Street,,
561234336,node,53.350908,-6.2527408,books,Bookmart & Gamexchange,"73, Talbot Street",Talbot Street,,
561234337,node,53.3509823,-6.2522855,bookmaker,Paddy Power,"69, Talbot Street, Dublin",Talbot Street,Dublin,
562072093,node,53.3506874,-6.2528408,hairdresser,Jack's Barber,"7A, Store Street, Dublin",Store Street,Dublin,
564076265,node,53.3252812,-6.2554094,beauty,SISU Clinic,"3, Fields Terrace, Dublin",Fields Terrace,Dublin,
564076271,node,53.3248657,-6.2555645,health_food,Bodyfirst Nutrition,"51, Cullenswood Road, Dublin",Cullenswood Road,Dublin,
564076279,node,53.325339,-6.2547517,bookmaker,Paddy Power,"Ranelagh, Dublin",Ranelagh,Dublin,
564118831,node,53.3255762,-6.2554672,alcohol,Redmonds,"Ranelagh, Dublin",Ranelagh,Dublin,
564118857,node,53.3258912,-6.2557607,hifi,Sound Hire,"Ranelagh, Dublin",Ranelagh,Dublin,
564118862,node,53.3260409,-6.2558863,locksmith,Locksmiths.ie,"Ranelagh, Dublin",Ranelagh,Dublin,
564118865,node,53.3260638,-6.2559183,bicycle,Cycles.ie,"Ranelagh, Dublin",Ranelagh,Dublin,
564399658,node,53.3288639,-6.2618045,car_repair,Kelly's Garage,Dublin,,Dublin,
564399678,node,53.3296454,-6.2603842,car_repair,Hopkins and Lockheart Crash Repair,"Athlumney Villas, Dublin",Athlumney Villas,Dublin,
564413744,node,53.3222148,-6.2658402,3d_printing,3D Printing Dublin,"215, Rathmines Road Lower, Dublin",Rathmines Road Lower,Dublin,
564413747,node,53.3222765,-6.265829,interior_decoration,April and the Bear,"213, Rathmines Road Lower, Dublin",Rathmines Road Lower,Dublin,
564453102,node,53.3208633,-6.2656653,electronics,Fix My Tech,"35, Rathmines Road Upper",Rathmines Road Upper,,
564926459,node,53.3157666,-6.2652815,convenience,Tesco Express,"167, Rathmines Road Upper, Dublin",Rathmines Road Upper,Dublin,
564926472,node,53.3161623,-6.2654113,food,Fresh & Wild,"151, Rathmines Road Upper, Dublin",Rathmines Road Upper,Dublin,
